# Per-epoch training curves for the four 250-epoch matched-budget arms.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-*-e250_<job>.out
# All ViT-B/32 @ 224, IN-100, P=32, bf16, variance balancing, 250 epochs, cosine to min_lr.
arm,job,epoch,lr,train_loss
rot_unsup,269807,236,1.39e-05,0.0558
rot_unsup,269807,237,1.34e-05,0.0548
rot_unsup,269807,238,1.29e-05,0.0553
rot_unsup,269807,239,1.24e-05,0.0556
rot_unsup,269807,240,1.20e-05,0.0549
rot_unsup,269807,241,1.16e-05,0.0548
rot_unsup,269807,242,1.13e-05,0.0551
rot_unsup,269807,243,1.10e-05,0.0549
rot_unsup,269807,244,1.07e-05,0.0544
rot_unsup,269807,245,1.05e-05,0.0545
rot_unsup,269807,246,1.03e-05,0.0545
rot_unsup,269807,247,1.02e-05,0.0540
rot_unsup,269807,248,1.01e-05,0.0541
rot_unsup,269807,249,1.00e-05,0.0541
ropart30,269806,0,1.00e-06,1.1049
ropart30,269806,1,1.01e-04,1.0730
ropart30,269806,2,2.01e-04,0.9402
ropart30,269806,3,3.00e-04,0.8846
ropart30,269806,4,4.00e-04,0.8404
ropart30,269806,5,5.00e-04,0.8022
ropart30,269806,6,5.00e-04,0.7487
ropart30,269806,7,5.00e-04,0.7072
ropart30,269806,8,5.00e-04,0.6674
ropart30,269806,9,5.00e-04,0.6362
ropart30,269806,10,4.99e-04,0.6082
ropart30,269806,11,4.99e-04,0.5829
ropart30,269806,12,4.99e-04,0.5648
ropart30,269806,13,4.99e-04,0.5464
ropart30,269806,14,4.98e-04,0.5322
ropart30,269806,15,4.98e-04,0.5173
ropart30,269806,16,4.98e-04,0.5011
ropart30,269806,17,4.97e-04,0.4915
ropart30,269806,18,4.97e-04,0.4799
ropart30,269806,19,4.96e-04,0.4716
ropart30,269806,20,4.95e-04,0.4629
ropart30,269806,21,4.95e-04,0.4548
ropart30,269806,22,4.94e-04,0.4466
ropart30,269806,23,4.94e-04,0.4371
ropart30,269806,24,4.93e-04,0.4305
ropart30,269806,25,4.92e-04,0.4253
ropart30,269806,26,4.91e-04,0.4187
ropart30,269806,27,4.90e-04,0.4135
ropart30,269806,28,4.89e-04,0.4075
ropart30,269806,29,4.88e-04,0.4038
ropart30,269806,30,4.88e-04,0.3865
ropart30,269806,31,4.87e-04,0.3760
ropart30,269806,32,4.85e-04,0.3686
ropart30,269806,33,4.84e-04,0.3567
